MsCode, Year, EstCode, Estimate, SE, LowerCIB, UpperCIB, Flag
MEASG,2012,_Population, 1085.9, , , , 
MEASG,2013,_Proportion, 21.9, 2.5, 19.4, 24.4, 
MEASG,2013,_ChangeInProportion, -0.3, 3.5, -3.8, 3.3, 
MEASG,2013,_Number, 237.6, 27.3, 210.3, 264.9, 
MEASG,2013,_ChangeInNumber, -3.1, 38.5, -41.6, 35.4, 
MEASG,2013,_Population, 1084.7, , , , 
MEASG,2014,_Proportion, 23, 2.8,20.2, 25.7, 
MEASG,2014,_ChangeInProportion, 1, 4.1, -3, 5.1, 
MEASG,2014,_Number, 248.8, 30, 218.8, 278.9, 
MEASG,2014,_ChangeInNumber, 11.2, 44.3, -33.1, 55.5, 
MEASG,2014,_Population, 1083.9, , , , 
MEASG,2015,_Proportion, 23.8, 2.2, 21.5, 26, 
MEASG,2015,_ChangeInProportion, 0.8, 3.4, -2.5, 4.2, 
MEASG,2015,_Number, 258.5, 23.8, 234.8, 282.3, 
MEASG,2015,_ChangeInNumber, 9.7, 36.6, -26.9, 46.3, 
MEASG,2015,_Population, 1087.1, , , , 
MEASG,2016,_Proportion, 22.3, 2.1,20.2, 24.4, 
MEASG,2016,_ChangeInProportion, -1.4, 3.2, -4.6, 1.7, 
MEASG,2016,_Number, 244.2, 23.3, 220.9, 267.4, 
MEASG,2016,_ChangeInNumber, -14.3, 34.1, -48.4, 19.8, 
MEASG,2016,_Population, 1093.2, , , , 
MEASG,2017,_Proportion, 21.4, 2.1, 19.2, 23.5, 
MEASG,2017,_ChangeInProportion, -1, 3, -4, 2, 
MEASG,2017,_Number, 235.6, 23.6, 212, 259.3, 
MEASG,2017,_ChangeInNumber, -8.6, 33, -41.6, 24.4, 
MEASG,2017,_Population, 1103.2, , , , 
MEASG,2018,_Proportion, 22.8, 1.9,20.9, 24.7, 
MEASG,2018,_ChangeInProportion, 1.4, 2.6, -1.1, 4, 
MEASG,2018,_Number, 253.8, 21.6, 232.3, 275.4, 
MEASG,2018,_ChangeInNumber, 18.2, 28.8, -10.6, 47, 
MEASG,2018,_Population, 1113.3, , , , 
MEASG,2019,_Proportion,20.1, 1.2, 19, 21.3, 
MEASG,2019,_ChangeInProportion, -2.7, 2.5, -5.2, -0.2, 
MEASG,2019,_Number, 227.9, 13.2, 214.7, 241.1, 
MEASG,2019,_ChangeInNumber, -25.9, 29.7, -53.8, 2, 
MEASG,2019,_Population, 1132.8, , , , 
MEASG,2020,_Proportion, 19.5, 1.3, 18.2,20.8, 
MEASG,2020,_ChangeInProportion, -0.6, 1.8, -2.5, 1.2, 
MEASG,2020,_Number, 222.8, 14.8,207.9, 237.6, 
MEASG,2020,_ChangeInNumber, -5.1,20.8, -25.9, 15.7, 
MEASG,2020,_Population, 1144.1, , , , 
MEASG,2021,_Proportion, 19.6, 1.4, 18.2,20.9, 
MEASG,2021,_ChangeInProportion, 0.1, 1.8, -1.7, 1.9, 
MEASG,2021,_Number, 225.2, 15.6,209.6, 240.7, 
MEASG,2021,_ChangeInNumber, 2.4,20.9, -18.5, 23.3, 
MEASG,2021,_Population, 1149.2, , , , 
MEASG,2022,_Proportion, 19.4, 2.1, 17.3, 21.5, 
MEASG,2022,_ChangeInProportion, -0.2, 2.4, -2.6, 2.3, 
MEASG,2022,_Number, 223.7, 24.2, 199.4, 247.9, 
MEASG,2022,_ChangeInNumber, -1.5, 28, -29.5, 26.5, 
MEASG,2022,_Population, 1150.7, , , , 
MEASH,2007,_Proportion, 15.3, 2.8, 12.5, 18.1, 
MEASH,2007,_ChangeInProportion, , , , ,A
MEASH,2007,_Number, 163.9, 30.3, 133.6, 194.2, 
MEASH,2007,_ChangeInNumber, , , , ,A
MEASH,2007,_Population, 1073.4, , , , 
MEASH,2008,_Proportion, 14.5, 2.2, 12.2, 16.7, 
MEASH,2008,_ChangeInProportion, -0.8, 3.6, -4.4, 2.8, 
MEASH,2008,_Number, 155.9, 24, 131.9, 179.9, 
MEASH,2008,_ChangeInNumber, -8, 38.3, -46.3, 30.3, 
MEASH,2008,_Population, 1076.5, , , , 
MEASH,2009,_Proportion, 15.3, 2.3, 13, 17.6, 
MEASH,2009,_ChangeInProportion, 0.8, 3.2, -2.3, 4, 
MEASH,2009,_Number, 165.2, 25.2, 140, 190.4, 
MEASH,2009,_ChangeInNumber, 9.3, 34.5, -25.2, 43.8, 
MEASH,2009,_Population, 1078.1, , , , 
MEASH,2010,_Proportion, 14.8, 2.3, 12.5, 17.1, 
MEASH,2010,_ChangeInProportion, -0.5, 3.2, -3.7, 2.7, 
MEASH,2010,_Number, 160.4, 25.3, 135.1, 185.7, 
MEASH,2010,_ChangeInNumber, -4.8, 35.2, -40, 30.4, 
MEASH,2010,_Population, 1082.6, , , , 
MEASH,2011,_Proportion, 16.1, 2.2, 13.9, 18.4, 
MEASH,2011,_ChangeInProportion, 1.3, 3, -1.7, 4.3, 
MEASH,2011,_Number, 175.5, 24, 151.5, 199.5, 
MEASH,2011,_ChangeInNumber, 15.1, 32.8, -17.7, 47.9, 
MEASH,2011,_Population, 1086.9, , , , 
MEASH,2012,_Proportion, 16.3, 2.6, 13.7, 18.9, 
MEASH,2012,_ChangeInProportion, 0.1, 3.3, -3.2, 3.5, 
MEASH,2012,_Number, 176.8, 28.7, 148.1,205.6, 
MEASH,2012,_ChangeInNumber, 1.3, 36.3, -35, 37.6, 
MEASH,2012,_Population, 1085.9, , , , 
MEASH,2013,_Proportion, 15.6, 2.5, 13.1, 18.1, 
MEASH,2013,_ChangeInProportion, -0.7, 3.4, -4.1, 2.7, 
MEASH,2013,_Number, 169, 27, 142, 196, 
MEASH,2013,_ChangeInNumber, -7.8, 37.1, -44.9, 29.3, 
MEASH,2013,_Population, 1084.7, , , , 
MEASH,2014,_Proportion, 15.8, 2.4, 13.5, 18.2, 
MEASH,2014,_ChangeInProportion, 0.3, 3.6, -3.3, 3.9, 
MEASH,2014,_Number, 171.7, 25.9, 145.8, 197.6, 
MEASH,2014,_ChangeInNumber, 2.7, 39.1, -36.4, 41.8, 
MEASH,2014,_Population, 1083.9, , , , 
MEASH,2015,_Proportion, 15.5, 1.9, 13.5, 17.4, 
MEASH,2015,_ChangeInProportion, -0.4, 3.2, -3.5, 2.8, 
MEASH,2015,_Number, 168.2, 21.2, 147, 189.5, 
MEASH,2015,_ChangeInNumber, -3.5, 35.1, -38.6, 31.6, 
MEASH,2015,_Population, 1087.1, , , , 
MEASH,2016,_Proportion, 16.2, 2.3, 13.9, 18.5, 
MEASH,2016,_ChangeInProportion, 0.8, 2.9, -2.1, 3.7, 
MEASH,2016,_Number, 177.6, 25.2, 152.5,202.8, 
MEASH,2016,_ChangeInNumber, 9.4, 31.8, -22.4, 41.2, 
MEASH,2016,_Population, 1093.2, , , , 
MEASH,2017,_Proportion, 16.1, 2.2, 13.9, 18.4, 
MEASH,2017,_ChangeInProportion, -0.1, 3.4, -3.5, 3.2, 
MEASH,2017,_Number, 178, 24.4, 153.6,202.4, 
MEASH,2017,_ChangeInNumber, 0.4, 36.7, -36.3, 37.1, 
MEASH,2017,_Population, 1103.2, , , , 
MEASH,2018,_Proportion, 15.7, 2.2, 13.5, 17.8, 
MEASH,2018,_ChangeInProportion, -0.5, 3, -3.5, 2.5, 
MEASH,2018,_Number, 174.3, 24.6, 149.7, 198.9, 
MEASH,2018,_ChangeInNumber, -3.7, 33.4, -37.1, 29.7, 
MEASH,2018,_Population, 1113.3, , , , 
MEASH,2019,_Proportion, 13.8, 1, 12.8, 14.7, 
MEASH,2019,_ChangeInProportion, 1.9, 2.4, -4.3, 0.5, 
MEASH,2019,_Number, 156.1, 10.8, 145.3, 166.9, 
MEASH,2019,_ChangeInNumber, -18.3, 27.5, -45.8, 9.2, 
MEASH,2019,_Population, 1132.8, , , , 
MEASH,2020,_Proportion, 13.2, 1.2, 12, 14.4, 
MEASH,2020,_ChangeInProportion, -0.5, 1.6, -2.1, 1, 
MEASH,2020,_Number, 151.4, 13.9, 137.5, 165.3, 
MEASH,2020,_ChangeInNumber, -4.7, 18.2, -22.9, 13.5, 
MEASH,2020,_Population, 1144.1, , , , 
MEASH,2021,_Proportion, 12.3, 1.1, 11.2, 13.3, 
MEASH,2021,_ChangeInProportion, -1, 1.6, -2.6, 0.6, 
MEASH,2021,_Number, 141, 12.4, 128.6, 153.3, 
MEASH,2021,_ChangeInNumber, -10.4, 18.3, -28.7, 7.9, 
MEASH,2021,_Population, 1149.2, , , , 
MEASH,2022,_Proportion, 12.5, 1.6, 10.9, 14.2, 
MEASH,2022,_ChangeInProportion, 0.3, 1.9, -1.6, 2.2, 
MEASH,2022,_Number, 144.2, 18.7, 125.5, 163, 
MEASH,2022,_ChangeInNumber, 3.3, 21.9, -18.6, 25.1, 
MEASH,2022,_Population, 1150.7, , , , 
MEASI,2007,_Proportion, , , , ,A
MEASI,2007,_ChangeInProportion, , , , ,A
MEASI,2007,_Number, , , , ,A
MEASI,2007,_ChangeInNumber, , , , ,A
MEASI,2007,_Population, , , , ,A
MEASI,2008,_Proportion, , , , ,A
MEASI,2008,_ChangeInProportion, , , , ,A
MEASI,2008,_Number, , , , ,A
MEASI,2008,_ChangeInNumber, , , , ,A
MEASI,2008,_Population, , , , ,A
MEASI,2009,_Proportion, , , , ,A
MEASI,2009,_ChangeInProportion, , , , ,A
MEASI,2009,_Number, , , , ,A
MEASI,2009,_ChangeInNumber, , , , ,A
MEASI,2009,_Population, , , , ,A
MEASI,2010,_Proportion, , , , ,A
MEASI,2010,_ChangeInProportion, , , , ,A
MEASI,2010,_Number, , , , ,A
MEASI,2010,_ChangeInNumber, , , , ,A
MEASI,2010,_Population, , , , ,A
MEASI,2011,_Proportion, , , , ,A
MEASI,2011,_ChangeInProportion, , , , ,A
MEASI,2011,_Number, , , , ,A
MEASI,2011,_ChangeInNumber, , , , ,A
MEASI,2011,_Population, , , , ,A
MEASI,2012,_Proportion, , , , ,A
MEASI,2012,_ChangeInProportion, , , , ,A
MEASI,2012,_Number, , , , ,A
MEASI,2012,_ChangeInNumber, , , , ,A
MEASI,2012,_Population, , , , ,A
MEASI,2013,_Proportion, 7.7, 2.7, 5.1, 10.4, 
MEASI,2013,_ChangeInProportion, , , , ,A
MEASI,2013,_Number, 84, 29.1, 54.9, 113.1, 
MEASI,2013,_ChangeInNumber, , , , ,A
MEASI,2013,_Population, 1084.7, , , , 
MEASI,2014,_Proportion, 8.4, 3.1, 5.4, 11.5, 
MEASI,2014,_ChangeInProportion, 0.7, 4.2, -3.5, 4.9, 
MEASI,2014,_Number, 91.5, 33.1, 58.4, 124.6, 
MEASI,2014,_ChangeInNumber, 7.5, 45.4, -37.9, 52.9, 
MEASI,2014,_Population, 1083.9, , , , 
MEASI,2015,_Proportion, 8.6, 3.4, 5.2, 11.9, 
MEASI,2015,_ChangeInProportion, 0.1, 4.8, -4.7, 4.9, 
MEASI,2015,_Number, 93, 36.2, 56.8, 129.3, 
MEASI,2015,_ChangeInNumber, 1.5, 51.6, -50.1, 53.1, 
MEASI,2015,_Population, 1087.1, , , , 
MEASI,2016,_Proportion, 4.6, 1.9, 2.7, 6.5, 
MEASI,2016,_ChangeInProportion, -4, 4, -8, 0, 
MEASI,2016,_Number, 50.2,20.3, 30, 70.5, 
MEASI,2016,_ChangeInNumber, -42.8, 43.5, -86.3, 0.7, 
MEASI,2016,_Population, 1093.2, , , , 
MEASI,2017,_Proportion, 6.7, 2.1, 4.6, 8.8, 
MEASI,2017,_ChangeInProportion, 2.1, 3, -0.9, 5.1, 
MEASI,2017,_Number, 73.6, 23.4, 50.2, 97, 
MEASI,2017,_ChangeInNumber, 23.4, 33.1, -9.7, 56.5, 
MEASI,2017,_Population, 1103.2, , , , 
MEASI,2018,_Proportion, 5.8, 1.4, 4.4, 7.2, 
MEASI,2018,_ChangeInProportion, -0.8, 2.6, -3.5, 1.8, 
MEASI,2018,_Number, 64.8, 15.6, 49.2, 80.4, 
MEASI,2018,_ChangeInNumber, -8.8, 28.9, -37.7,20.1, 
MEASI,2018,_Population, 1113.3, , , , 
MEASI,2019,_Proportion, 5.7, 0.6, 5.1, 6.3, 
MEASI,2019,_ChangeInProportion, -0.1, 1.6, -1.8, 1.5, 
MEASI,2019,_Number, 64.6, 7.1, 57.5, 71.7, 
MEASI,2019,_ChangeInNumber, -0.2, 18.2, -18.4, 18, 
MEASI,2019,_Population, 1132.2, , , , 
MEASI,2020,_Proportion, 4.6, 0.7, 3.9, 5.3, 
MEASI,2020,_ChangeInProportion, -1.1, 0.9, -2, -0.2, 
MEASI,2020,_Number, 52.6, 8, 44.6, 60.6, 
MEASI,2020,_ChangeInNumber, -12, 10.4, -22.3, -1.6, 
MEASI,2020,_Population, 1142.3, , , , 
MEASI,2021,_Proportion, 4.9, 0.9, 4, 5.8, 
MEASI,2021,_ChangeInProportion, 0.3, 1.1, -0.8, 1.3, 
MEASI,2021,_Number, 56.1, 10.1, 46.1, 66.2, 
MEASI,2021,_ChangeInNumber, 3.5, 12.1, -8.6, 15.7, 
MEASI,2021,_Population, 1146.9, , , , 
MEASI,2022,_Proportion, 3.9, 1, 2.9, 4.9, 
MEASI,2022,_ChangeInProportion, -1, 1.3, -2.3, 0.3, 
MEASI,2022,_Number, 45.1, 11.2, 33.9, 56.3, 
MEASI,2022,_ChangeInNumber, -11.1, 14.7, -25.8, 3.6, 
MEASI,2022,_Population, 1149.6, , , , 
MEASJ,2007,_Proportion, , , , ,A
MEASJ,2007,_ChangeInProportion, , , , ,A
MEASJ,2007,_Number, , , , ,A
MEASJ,2007,_ChangeInNumber, , , , ,A
MEASJ,2007,_Population, , , , ,A
MEASJ,2008,_Proportion, , , , ,A
MEASJ,2008,_ChangeInProportion, , , , ,A
MEASJ,2008,_Number, , , , ,A
MEASJ,2008,_ChangeInNumber, , , , ,A
MEASJ,2008,_Population, , , , ,A
MEASJ,2009,_Proportion, , , , ,A
MEASJ,2009,_ChangeInProportion, , , , ,A
MEASJ,2009,_Number, , , , ,A
MEASJ,2009,_ChangeInNumber, , , , ,A
MEASJ,2009,_Population, , , , ,A
MEASJ,2010,_Proportion, , , , ,A
MEASJ,2010,_ChangeInProportion, , , , ,A
MEASJ,2010,_Number, , , , ,A
MEASJ,2010,_ChangeInNumber, , , , ,A
MEASJ,2010,_Population, , , , ,A
MEASJ,2011,_Proportion, , , , ,A
MEASJ,2011,_ChangeInProportion, , , , ,A
MEASJ,2011,_Number, , , , ,A
MEASJ,2011,_ChangeInNumber, , , , ,A
MEASJ,2011,_Population, , , , ,A
MEASJ,2012,_Proportion, , , , ,A
MEASJ,2012,_ChangeInProportion, , , , ,A
MEASJ,2012,_Number, , , , ,A
MEASJ,2012,_ChangeInNumber, , , , ,A
MEASJ,2012,_Population, , , , ,A
MEASJ,2013,_Proportion, 10.5, 3.3, 7.2, 13.8, 
MEASJ,2013,_ChangeInProportion, , , , ,A
MEASJ,2013,_Number, 113.8, 35.7, 78.1, 149.4, 
MEASJ,2013,_ChangeInNumber, , , , ,A
MEASJ,2013,_Population, 1084.7, , , , 
MEASJ,2014,_Proportion, 8.9, 2.6, 6.2, 11.5, 
MEASJ,2014,_ChangeInProportion, -1.6, 4.2, -5.9, 2.6, 
MEASJ,2014,_Number, 96.2, 28.3, 67.9, 124.5, 
MEASJ,2014,_ChangeInNumber, -17.6, 46, -63.6, 28.4, 
MEASJ,2014,_Population, 1083.9, , , , 
MEASJ,2015,_Proportion, 10.2, 2.6, 7.6, 12.8, 
MEASJ,2015,_ChangeInProportion, 1.3, 3.9, -2.5, 5.2, 
MEASJ,2015,_Number, 110.9, 27.6, 83.3, 138.5, 
MEASJ,2015,_ChangeInNumber, 14.7, 41.8, -27.1, 56.5, 
MEASJ,2015,_Population, 1087.1, , , , 
MEASJ,2016,_Proportion, 7.2, 2.5, 4.7, 9.8, 
MEASJ,2016,_ChangeInProportion, -3, 3.6, -6.6, 0.6, 
MEASJ,2016,_Number, 78.8, 27.8, 51, 106.6, 
MEASJ,2016,_ChangeInNumber, -32.1, 39.4, -71.5, 7.3, 
MEASJ,2016,_Population, 1093.2, , , , 
MEASJ,2017,_Proportion, 7.8, 2, 5.8, 9.9, 
MEASJ,2017,_ChangeInProportion, 0.6, 3.5, -2.9, 4.1, 
MEASJ,2017,_Number, 86.2, 22.4, 63.8, 108.6, 
MEASJ,2017,_ChangeInNumber, 7.4, 38.2, -30.8, 45.6, 
MEASJ,2017,_Population, 1103.2, , , , 
MEASJ,2018,_Proportion, 8.8, 1.8, 7.1, 10.6, 
MEASJ,2018,_ChangeInProportion, 1, 2.9, -1.9, 3.9, 
MEASJ,2018,_Number, 98.3, 19.5, 78.8, 117.8, 
MEASJ,2018,_ChangeInNumber, 12.1, 31.7, -19.6, 43.8, 
MEASJ,2018,_Population, 1113.3, , , , 
MEASJ,2019,_Proportion, 7.7, 0.8, 6.9, 8.5, 
MEASJ,2019,_ChangeInProportion, -1.1, 1.9, -3.1, 0.8, 
MEASJ,2019,_Number, 87.1, 9.4, 77.7, 96.5, 
MEASJ,2019,_ChangeInNumber, -11.2, 21.3, -32.5, 10.1, 
MEASJ,2019,_Population, 1132.8, , , , 
MEASJ,2020,_Proportion, 6.9, 1, 5.9, 7.8, 
MEASJ,2020,_ChangeInProportion, -0.8, 1.2, -2.1, 0.4, 
MEASJ,2020,_Number, 78.4, 11.2, 67.2, 89.5, 
MEASJ,2020,_ChangeInNumber, -8.7, 14.1, -22.9, 5.4, 
MEASJ,2020,_Population, 1142.3, , , , 
MEASJ,2021,_Proportion, 6.4, 0.8, 5.6, 7.2, 
MEASJ,2021,_ChangeInProportion, -0.5, 1.1, -1.6, 0.7, 
MEASJ,2021,_Number, 73.5, 9.6, 63.8, 83.1, 
MEASJ,2021,_ChangeInNumber, -4.9, 13, -17.9, 8.1, 
MEASJ,2021,_Population, 1146.9, , , , 
MEASJ,2022,_Proportion, 5.9, 1.2, 4.7, 7, 
MEASJ,2022,_ChangeInProportion, -0.5, 1.4, -2, 0.9, 
MEASJ,2022,_Number, 67.3, 13.3, 54.1, 80.6, 
MEASJ,2022,_ChangeInNumber, -6.1, 16.2, -22.3, 10.1, 
MEASJ,2022,_Population, 1149.6, , , , 
